Funnel Historico por Mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Enero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Plaza Moraledas,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,26,87%,30,87%,,Ventas ,4,2,50%,4,50%,,Ventas ,14,10,71%,14,71%,,,Ventas ,8,9,110%,8,110%,,Ventas ,4,3,75%,4,75%,,Ventas ,1,2,110%,1,110%,,,Ventas ,3,,0%,3,0%,,,,,,,,,,,,,,,,,,,,,
Leads generados,1282,1029,80%,1282,80%,,Leads generados,120,110,92%,120,92%,,Leads generados,80,76,95%,80,95%,,,Leads generados,901,760,84%,901,84%,,Leads generados,100,46,46%,100,46%,,Leads generados,81,37,46%,81,46%,,,Leads generados,120,13,11%,120,11%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,766,710,93%,766,93%,,Leads efectivos,111,99,89%,111,89%,,Leads efectivos,80,71,89%,80,89%,,,Leads efectivos,436,465,107%,436,107%,,Leads efectivos,80,43,54%,80,54%,,Leads efectivos,59,32,54%,59,54%,,,Leads efectivos,80,13,16%,80,16%,,,,,,,,,,,,,,,,,,,,,
Cita programada,180,189,105%,180,105%,,Cita programada,24,41,110%,24,110%,,Cita programada,80,47,59%,80,59%,,,Cita programada,46,74,110%,46,110%,,Cita programada,24,9,38%,24,38%,,Cita programada,6,18,110%,6,110%,,,Cita programada,50,1,2%,50,2%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,150,109,73%,150,73%,,Cita efectiva,20,28,110%,20,110%,,Cita efectiva,74,36,49%,74,49%,,,Cita efectiva,33,37,110%,33,110%,,Cita efectiva,16,5,31%,16,31%,,Cita efectiva,7,3,43%,7,43%,,,Cita efectiva,40,1,3%,40,3%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,102,86,84%,102,84%,,Prueba de manejo,14,14,100%,14,100%,,Prueba de manejo,48,34,71%,48,71%,,,Prueba de manejo,23,22,96%,23,96%,,Prueba de manejo,13,9,69%,13,69%,,Prueba de manejo,4,7,110%,4,110%,,,Prueba de manejo,25,3,12%,25,12%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,101,82,81%,101,81%,,Solicitud de crédito generada,14,12,86%,14,86%,,Solicitud de crédito generada,46,34,74%,46,74%,,,Solicitud de crédito generada,25,21,84%,25,84%,,Solicitud de crédito generada,12,9,75%,12,75%,,Solicitud de crédito generada,4,6,110%,4,110%,,,Solicitud de crédito generada,15,1,7%,15,7%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,48,29,60%,48,60%,,Solicitud de crédito aprobada,7,5,71%,7,71%,,Solicitud de crédito aprobada,20,13,65%,20,65%,,,Solicitud de crédito aprobada,14,6,43%,14,43%,,Solicitud de crédito aprobada,6,3,50%,6,50%,,Solicitud de crédito aprobada,1,2,110%,1,110%,,,Solicitud de crédito aprobada,8,1,13%,8,13%,,,,,,,,,,,,,,,,,,,,,
Cerrador,20,19,95%,20,95%,,Cerrador,3,2,67%,3,67%,,Cerrador,7,7,100%,7,100%,,,Cerrador,5,7,110%,5,110%,,Cerrador,4,2,50%,4,50%,,Cerrador,1,1,100%,1,100%,,,Cerrador,3,0,0%,3,0%,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,26,87%,30,87%,,Ventas ,4,2,50%,4,50%,,Ventas ,15,10,67%,15,67%,,,Ventas ,8,9,110%,8,110%,,Ventas ,4,3,75%,4,75%,,Ventas ,1,2,110%,1,110%,,,Ventas ,3,0,0%,3,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Febrero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Gran Patio,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,20,67%,30,67%,,Ventas ,4,1,25%,4,25%,,Ventas ,12,11,92%,12,92%,,,Ventas ,10,4,40%,10,40%,,Ventas ,4,0,0%,4,0%,,Ventas ,3,4,110%,3,110%,,,Ventas ,3,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,
Leads generados,757,537,71%,463,110%,,Leads generados,180,90,50%,180,50%,,Leads generados,80,64,80%,80,80%,,,Leads generados,296,210,71%,296,71%,,Leads generados,120,70,58%,120,58%,,Leads generados,81,15,19%,81,19%,,,Leads generados,150,88,59%,15,110%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,501,446,89%,306,110%,,Leads efectivos,99,82,83%,99,83%,,Leads efectivos,80,61,76%,80,76%,,,Leads efectivos,213,141,66%,213,66%,,Leads efectivos,80,68,85%,80,85%,,Leads efectivos,29,13,45%,29,45%,,,Leads efectivos,80,81,101%,8,110%,,,,,,,,,,,,,,,,,,,,,
Cita programada,214,117,55%,130,90%,,Cita programada,24,18,75%,24,75%,,Cita programada,80,34,43%,80,43%,,,Cita programada,40,34,85%,40,85%,,Cita programada,24,11,46%,24,46%,,Cita programada,6,5,83%,6,83%,,,Cita programada,35,15,43%,3,110%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,149,101,68%,90,110%,,Cita efectiva,20,14,70%,20,70%,,Cita efectiva,74,31,42%,74,42%,,,Cita efectiva,33,27,82%,33,82%,,Cita efectiva,16,9,56%,16,56%,,Cita efectiva,6,5,83%,6,83%,,,Cita efectiva,40,15,38%,3,110%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,103,97,94%,62,110%,,Prueba de manejo,14,14,100%,14,100%,,Prueba de manejo,48,31,65%,48,65%,,,Prueba de manejo,23,24,104%,23,104%,,Prueba de manejo,13,6,46%,13,46%,,Prueba de manejo,5,6,110%,5,110%,,,Prueba de manejo,25,16,64%,2,110%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,92,75,82%,55,110%,,Solicitud de crédito generada,14,13,93%,14,93%,,Solicitud de crédito generada,40,23,58%,40,58%,,,Solicitud de crédito generada,20,28,110%,20,110%,,Solicitud de crédito generada,12,3,25%,12,25%,,Solicitud de crédito generada,6,4,67%,6,67%,,,Solicitud de crédito generada,13,4,31%,0,110%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,46,27,59%,27,99%,,Solicitud de crédito aprobada,7,3,43%,7,43%,,Solicitud de crédito aprobada,17,14,82%,17,82%,,,Solicitud de crédito aprobada,14,6,43%,14,43%,,Solicitud de crédito aprobada,6,0,0%,6,0%,,Solicitud de crédito aprobada,2,4,110%,2,110%,,,Solicitud de crédito aprobada,8,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,
Formalizado,26,11,42%,15,74%,,Formalizado,5,1,20%,5,20%,,Formalizado,8,7,88%,8,88%,,,Formalizado,7,3,43%,7,43%,,Formalizado,4,0,0%,4,0%,,Formalizado,2,0,0%,2,0%,,,Formalizado,3,0,0%,-1,0%,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,20,67%,30,67%,,Ventas ,4,1,25%,4,25%,,Ventas ,15,11,73%,15,73%,,,Ventas ,8,4,50%,8,50%,,Ventas ,4,0,0%,4,0%,,Ventas ,3,4,110%,3,110%,,,Ventas ,3,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Marzo 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Gran Patio,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,30,100%,30,100%,,Ventas ,4,2,50%,4,50%,,Ventas ,14,9,64%,14,64%,,,Ventas ,8,12,110%,8,110%,,Ventas ,3,1,33%,3,33%,,Ventas ,0,6,0,0,0,,,Ventas ,3,0,0%,3,0%,,,,,,,,,,,,,,,,,,,,,
Leads generados,757,925,110%,757,110%,,Leads generados,180,162,90%,180,90%,,Leads generados,80,80,100%,80,100%,,,Leads generados,450,491,109%,450,109%,,Leads generados,120,110,92%,120,92%,,Leads generados,81,47,97%,49,97%,,,Leads generados,150,35,23%,150,23%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,501,731,110%,501,110%,,Leads efectivos,99,135,110%,99,110%,,Leads efectivos,80,80,100%,80,100%,,,Leads efectivos,312,344,110%,312,110%,,Leads efectivos,80,105,110%,80,110%,,Leads efectivos,29,37,110%,17,110%,,,Leads efectivos,80,30,38%,80,38%,,,,,,,,,,,,,,,,,,,,,
Cita programada,214,181,85%,214,85%,,Cita programada,24,20,83%,24,83%,,Cita programada,80,80,100%,80,100%,,,Cita programada,40,57,110%,40,110%,,Cita programada,24,12,50%,24,50%,,Cita programada,6,2,75%,3,75%,,,Cita programada,35,10,29%,35,29%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,149,140,94%,149,94%,,Cita efectiva,20,15,75%,20,75%,,Cita efectiva,74,80,108%,74,108%,,,Cita efectiva,33,26,79%,33,79%,,Cita efectiva,16,10,63%,16,63%,,Cita efectiva,6,2,75%,3,75%,,,Cita efectiva,40,7,18%,40,18%,,,,,,,,,,,,,,,,,,,,,
